"customer_id";"campaign_id";"age";"gender";"region";"campaign_type";"engagement_score";"purchase_made";"campaign_start_date";"campaign_end_date";"marketing_channel";"campaign_duration";"engagement_level";"campaign_result";"age_group"
"CUST1000";"CAMP181";25;"Male";"East";"Social Media";2.23;0;"2025-03-28";"2025-04-01";"Radio";0;"";"";""
"CUST1001";"CAMP194";52;"Male";"West";"Email";0.3;0;"2024-09-14";"2025-04-23";"Instagram";0;"";"";""
"CUST1002";"CAMP164";56;"Male";"South";"Influencer";4.2;1;"2024-05-24";"2025-01-19";"Email";0;"";"";""
"CUST1003";"CAMP135";18;"Male";"West";"TV";2.78;0;"2024-11-03";"2025-02-21";"YouTube";0;"";"";""
"CUST1004";"CAMP143";24;"Male";"West";"Email";3.59;1;"2024-11-27";"2025-02-06";"Email";0;"";"";""
"CUST1005";"CAMP133";20;"Other";"West";"Influencer";1.25;1;"2024-06-26";"2024-09-30";"Facebook";0;"";"";""
"CUST1006";"CAMP170";36;"Other";"East";"Influencer";1.92;0;"2024-09-27";"2024-12-03";"Facebook";0;"";"";""
"CUST1007";"CAMP184";32;"Female";"North";"Social Media";8.66;1;"2025-02-07";"2025-03-17";"Google Ads";0;"";"";""
"CUST1008";"CAMP158";58;"Female";"South";"TV";3.55;1;"2025-02-06";"2025-05-07";"Radio";0;"";"";""
"CUST1009";"CAMP187";59;"Male";"South";"Influencer";7.29;0;"2025-05-09";"2025-05-12";"TV";0;"";"";""
"CUST1010";"CAMP148";35;"Other";"South";"TV";8.43;0;"2024-05-26";"2024-07-23";"Instagram";0;"";"";""
"CUST1011";"CAMP104";38;"Female";"East";"Email";2.11;1;"2024-06-13";"2024-07-06";"Instagram";0;"";"";""
"CUST1012";"CAMP183";49;"Female";"West";"Social Media";2.65;0;"2025-03-23";"2025-04-26";"Radio";0;"";"";""
"CUST1013";"CAMP171";52;"Female";"West";"Influencer";3.99;0;"2024-06-19";"2025-03-23";"Instagram";0;"";"";""
"CUST1014";"CAMP165";49;"Male";"North";"Email";1.53;0;"2024-06-10";"2024-07-03";"YouTube";0;"";"";""
"CUST1015";"CAMP187";45;"Other";"North";"Radio";3.82;1;"2025-01-01";"2025-01-30";"Email";0;"";"";""
"CUST1016";"CAMP132";53;"Male";"North";"Influencer";7.51;1;"2024-05-23";"2025-05-07";"Facebook";0;"";"";""
"CUST1017";"CAMP137";45;"Male";"West";"Email";9.54;1;"2024-10-16";"2025-04-19";"Email";0;"";"";""
"CUST1018";"CAMP197";29;"Other";"North";"TV";8.42;0;"2024-11-14";"2025-02-21";"Instagram";0;"";"";""
"CUST1019";"CAMP147";28;"Other";"North";"Influencer";3.24;0;"2025-01-07";"2025-01-28";"Facebook";0;"";"";""
"CUST1020";"CAMP146";37;"Male";"North";"Social Media";8.78;0;"2025-04-11";"2025-05-09";"Facebook";0;"";"";""
